parameter,value,domain,congruency,par_class
mu_alphaV_inc,0.0116817,V,inc,learning
mu_alphaP_con,0.0652409,P,con,learning
mu_alphaP_inc,0.0146972,P,inc,learning
mu_alphaV_con,0.119185,V,con,learning
mu_alphaV_inc,0.0162367,V,inc,learning
mu_alphaP_con,0.0569465,P,con,learning
mu_alphaP_inc,0.0121511,P,inc,learning
mu_alphaV_con,0.121183,V,con,learning
mu_alphaV_inc,0.0126218,V,inc,learning
mu_alphaP_con,0.0731253,P,con,learning
mu_alphaP_inc,0.0115396,P,inc,learning
mu_alphaV_con,0.115673,V,con,learning
mu_alphaV_inc,0.0135415,V,inc,learning
mu_alphaP_con,0.0691365,P,con,learning
mu_alphaP_inc,0.0126403,P,inc,learning
mu_alphaV_con,0.114741,V,con,learning
mu_alphaV_inc,0.0141574,V,inc,learning
mu_alphaP_con,0.061742,P,con,learning
mu_alphaP_inc,0.0118198,P,inc,learning
mu_alphaV_con,0.116037,V,con,learning
mu_alphaV_inc,0.0142012,V,inc,learning
mu_alphaP_con,0.0628697,P,con,learning
mu_alphaP_inc,0.0121134,P,inc,learning
mu_alphaV_con,0.111702,V,con,learning
mu_alphaV_inc,0.0127135,V,inc,learning
mu_alphaP_con,0.0580124,P,con,learning
mu_alphaP_inc,0.0127652,P,inc,learning
mu_alphaV_con,0.108899,V,con,learning
mu_alphaV_inc,0.0141457,V,inc,learning
mu_alphaP_con,0.0645715,P,con,learning
mu_alphaP_inc,0.0095617400000000009,P,inc,learning
mu_alphaV_con,0.125682,V,con,learning
mu_alphaV_inc,0.0127168,V,inc,learning
mu_alphaP_con,0.0629341,P,con,learning
mu_alphaP_inc,0.0126398,P,inc,learning
mu_alphaV_con,0.114379,V,con,learning
mu_alphaV_inc,0.0132684,V,inc,learning
mu_alphaP_con,0.0629532,P,con,learning
mu_alphaP_inc,0.0120145,P,inc,learning
mu_alphaV_con,0.117182,V,con,learning
mu_alphaV_inc,0.0132797,V,inc,learning
mu_alphaP_con,0.0639176,P,con,learning
mu_alphaP_inc,0.0138389,P,inc,learning
mu_alphaV_con,0.115791,V,con,learning
mu_alphaV_inc,0.013065,V,inc,learning
mu_alphaP_con,0.0605079,P,con,learning
mu_alphaP_inc,0.0126654,P,inc,learning
mu_alphaV_con,0.121905,V,con,learning
mu_alphaV_inc,0.0139491,V,inc,learning
mu_alphaP_con,0.0681645,P,con,learning
mu_alphaP_inc,0.0119313,P,inc,learning
mu_alphaV_con,0.124159,V,con,learning
mu_alphaV_inc,0.0148295,V,inc,learning
mu_alphaP_con,0.0639073,P,con,learning
mu_alphaP_inc,0.0131292,P,inc,learning
mu_alphaV_con,0.120131,V,con,learning
mu_alphaV_inc,0.0141649,V,inc,learning
mu_alphaP_con,0.0638499,P,con,learning
mu_alphaP_inc,0.0145382,P,inc,learning
mu_alphaV_con,0.117418,V,con,learning
mu_alphaV_inc,0.0120856,V,inc,learning
mu_alphaP_con,0.0650502,P,con,learning
mu_alphaP_inc,0.0109963,P,inc,learning
mu_alphaV_con,0.124898,V,con,learning
mu_alphaV_inc,0.0146841,V,inc,learning
mu_alphaP_con,0.0630506,P,con,learning
mu_alphaP_inc,0.0130146,P,inc,learning
mu_alphaV_con,0.112273,V,con,learning
mu_alphaV_inc,0.0135257,V,inc,learning
mu_alphaP_con,0.0651741,P,con,learning
mu_alphaP_inc,0.0149111,P,inc,learning
mu_alphaV_con,0.115311,V,con,learning
mu_alphaV_inc,0.0131263,V,inc,learning
mu_alphaP_con,0.0600669,P,con,learning
mu_alphaP_inc,0.0112721,P,inc,learning
mu_alphaV_con,0.120605,V,con,learning
mu_alphaV_inc,0.0156558,V,inc,learning
mu_alphaP_con,0.0620254,P,con,learning
mu_alphaP_inc,0.0142858,P,inc,learning
mu_alphaV_con,0.112327,V,con,learning
mu_alphaV_inc,0.0132646,V,inc,learning
mu_alphaP_con,0.0649744,P,con,learning
mu_alphaP_inc,0.0132681,P,inc,learning
mu_alphaV_con,0.117606,V,con,learning
mu_alphaV_inc,0.0128974,V,inc,learning
mu_alphaP_con,0.0644818,P,con,learning
mu_alphaP_inc,0.0135279,P,inc,learning
mu_alphaV_con,0.117323,V,con,learning
mu_alphaV_inc,0.0105217,V,inc,learning
mu_alphaP_con,0.0616898,P,con,learning
mu_alphaP_inc,0.0124963,P,inc,learning
mu_alphaV_con,0.11763,V,con,learning
mu_alphaV_inc,0.0108394,V,inc,learning
mu_alphaP_con,0.0658874,P,con,learning
mu_alphaP_inc,0.0123031,P,inc,learning
mu_alphaV_con,0.121493,V,con,learning
mu_alphaV_inc,0.0107871,V,inc,learning
mu_alphaP_con,0.0652232,P,con,learning
mu_alphaP_inc,0.0119947,P,inc,learning
mu_alphaV_con,0.125825,V,con,learning
mu_alphaV_inc,0.0145554,V,inc,learning
mu_alphaP_con,0.0649837,P,con,learning
mu_alphaP_inc,0.0126462,P,inc,learning
mu_alphaV_con,0.110202,V,con,learning
mu_alphaV_inc,0.0131465,V,inc,learning
mu_alphaP_con,0.0657018,P,con,learning
mu_alphaP_inc,0.0112758,P,inc,learning
mu_alphaV_con,0.116251,V,con,learning
mu_alphaV_inc,0.0117492,V,inc,learning
mu_alphaP_con,0.064079,P,con,learning
mu_alphaP_inc,0.0115598,P,inc,learning
mu_alphaV_con,0.113609,V,con,learning
mu_alphaV_inc,0.0122692,V,inc,learning
mu_alphaP_con,0.0663726,P,con,learning
mu_alphaP_inc,0.0128703,P,inc,learning
mu_alphaV_con,0.114072,V,con,learning
mu_alphaV_inc,0.0138141,V,inc,learning
mu_alphaP_con,0.0653585,P,con,learning
mu_alphaP_inc,0.0114559,P,inc,learning
mu_alphaV_con,0.111186,V,con,learning
mu_alphaV_inc,0.0139117,V,inc,learning
mu_alphaP_con,0.0641961,P,con,learning
mu_alphaP_inc,0.0121184,P,inc,learning
mu_alphaV_con,0.117006,V,con,learning
mu_alphaV_inc,0.0126288,V,inc,learning
mu_alphaP_con,0.0612444,P,con,learning
mu_alphaP_inc,0.012135,P,inc,learning
mu_alphaV_con,0.117978,V,con,learning
mu_alphaV_inc,0.0147071,V,inc,learning
mu_alphaP_con,0.0633044,P,con,learning
mu_alphaP_inc,0.0109401,P,inc,learning
mu_alphaV_con,0.121186,V,con,learning
mu_alphaV_inc,0.0128619,V,inc,learning
mu_alphaP_con,0.0638564,P,con,learning
mu_alphaP_inc,0.0105613,P,inc,learning
mu_alphaV_con,0.120642,V,con,learning
mu_alphaV_inc,0.0135612,V,inc,learning
mu_alphaP_con,0.0610696,P,con,learning
mu_alphaP_inc,0.0103434,P,inc,learning
mu_alphaV_con,0.116318,V,con,learning
mu_alphaV_inc,0.0127706,V,inc,learning
mu_alphaP_con,0.0673669,P,con,learning
mu_alphaP_inc,0.00967001,P,inc,learning
mu_alphaV_con,0.122321,V,con,learning
mu_alphaV_inc,0.0129733,V,inc,learning
mu_alphaP_con,0.0707034,P,con,learning
mu_alphaP_inc,0.012835,P,inc,learning
mu_alphaV_con,0.117501,V,con,learning
mu_alphaV_inc,0.0123854,V,inc,learning
mu_alphaP_con,0.0611905,P,con,learning
mu_alphaP_inc,0.0122547,P,inc,learning
mu_alphaV_con,0.115462,V,con,learning
mu_alphaV_inc,0.0129063,V,inc,learning
mu_alphaP_con,0.0629891,P,con,learning
mu_alphaP_inc,0.0131783,P,inc,learning
mu_alphaV_con,0.121387,V,con,learning
mu_alphaV_inc,0.0144285,V,inc,learning
mu_alphaP_con,0.0638447,P,con,learning
mu_alphaP_inc,0.0131979,P,inc,learning
mu_alphaV_con,0.119577,V,con,learning
mu_alphaV_inc,0.0149392,V,inc,learning
mu_alphaP_con,0.0678396,P,con,learning
mu_alphaP_inc,0.0128167,P,inc,learning
mu_alphaV_con,0.115271,V,con,learning
mu_alphaV_inc,0.0148927,V,inc,learning
mu_alphaP_con,0.0608064,P,con,learning
mu_alphaP_inc,0.0112029,P,inc,learning
mu_alphaV_con,0.111371,V,con,learning
